1,Oil,5,,,1,1
2,Filter,7,,,1,1
3,spark_plug,9,,,1,2
4,TuneUp,11,,,1,2
5,Battries,13,,,1,1
6,Steering,15,,,1,2
7,Brake,17,,,1,2
8,Muffler,19,,,1,3
9,Tire,21,,,1,3
10,Transmision,23,,,1,2
11,Air Condition,25,,,1,2
12,Detailing,27,,,1,3
13,Oil,5,,,2,1
14,Filter,7,,,2,1
15,spark_plug,5,,,2,2
16,TuneUp,9,,,2,2
17,Battries,15,,,2,1
18,Steering,40,,,2,2
19,Brake,5,,,2,2
20,Muffler,6,,,2,3
21,Tire,2,,,2,3
22,Transmision,23,,,2,2
23,Air Condition,40,,,2,2
24,Detailing,15,,,2,3
25,Oil,7,,,3,1
26,Filter,9,,,3,1
27,spark_plug,10,,,3,2
28,TuneUp,14,,,3,2
29,Battries,20,,,3,1
30,Steering,45,,,3,2
31,Brake,8,,,3,2
32,Muffler,9,,,3,3
33,Tire,3,,,3,3
34,Transmision,28,,,3,2
35,Air Condition,48,,,3,2
36,Detailing,20,,,3,3
37,Oil,9,,,4,1
38,Filter,11,,,4,1
39,spark_plug,15,,,4,2
40,TuneUp,19,,,4,2
41,Battries,25,,,4,1
42,Steering,50,,,4,2
43,Brake,11,,,4,2
44,Muffler,12,,,4,3
45,Tire,4,,,4,3
46,Transmision,33,,,4,2
47,Air Condition,50,,,4,2
48,Detailing,25,,,4,3
49,Oil,11,,,5,1
50,Filter,13,,,5,1
51,spark_plug,20,,,5,2
52,TuneUp,24,,,5,2
53,Battries,30,,,5,1
54,Steering,55,,,5,2
55,Brake,14,,,5,2
56,Muffler,15,,,5,3
57,Tire,5,,,5,3
58,Transmision,38,,,5,2
59,Air Condition,55,,,5,2
60,Detailing,30,,,5,3
61,Oil,13,,,6,1
62,Filter,15,,,6,1
63,spark_plug,25,,,6,2
64,TuneUp,29,,,6,2
65,Battries,35,,,6,1
66,Steering,60,,,6,2
67,Brake,17,,,6,2
68,Muffler,18,,,6,3
69,Tire,6,,,6,3
70,Transmision,43,,,6,2
71,Air Condition,60,,,6,2
72,Detailing,35,,,6,3
73,Oil,15,,,7,1
74,Filter,17,,,7,1
75,spark_plug,30,,,7,2
76,TuneUp,34,,,7,2
77,Battries,40,,,7,1
78,Steering,65,,,7,2
79,Brake,20,,,7,2
80,Muffler,21,,,7,3
81,Tire,7,,,7,3
82,Transmision,48,,,7,2
83,Air Condition,65,,,7,2
84,Detailing,40,,,7,3
85,Oil,17,,,8,1
86,Filter,19,,,8,1
87,spark_plug,35,,,8,2
88,TuneUp,39,,,8,2
89,Battries,45,,,8,1
90,Steering,70,,,8,2
91,Brake,23,,,8,2
92,Muffler,24,,,8,3
93,Tire,8,,,8,3
94,Transmision,53,,,8,2
95,Air Condition,70,,,8,2
96,Detailing,45,,,8,3
97,Oil,19,,,9,1
98,Filter,21,,,9,1
99,spark_plug,40,,,9,2
100,TuneUp,44,,,9,2
101,Battries,50,,,9,1
102,Steering,75,,,9,2
103,Brake,26,,,9,2
104,Muffler,27,,,9,3
105,Tire,9,,,9,3
106,Transmision,58,,,9,2
107,Air Condition,75,,,9,2
108,Detailing,50,,,9,3
109,Oil,21,,,10,1
110,Filter,23,,,10,1
111,spark_plug,45,,,10,2
112,TuneUp,49,,,10,2
113,Battries,55,,,10,1
114,Steering,80,,,10,2
115,Brake,29,,,10,2
116,Muffler,30,,,10,3
117,Tire,10,,,10,3
118,Transmision,63,,,10,2
119,Air Condition,80,,,10,2
120,Detailing,55,,,10,3
121,Oil,23,,,11,1
122,Filter,25,,,11,1
123,spark_plug,50,,,11,2
124,TuneUp,54,,,11,2
125,Battries,60,,,11,1
126,Steering,85,,,11,2
127,Brake,32,,,11,2
128,Muffler,33,,,11,3
129,Tire,11,,,11,3
130,Transmision,68,,,11,2
131,Air Condition,85,,,11,2
132,Detailing,60,,,11,3
133,Oil,25,,,12,1
134,Filter,27,,,12,1
135,spark_plug,55,,,12,2
136,TuneUp,59,,,12,2
137,Battries,65,,,12,1
138,Steering,90,,,12,2
139,Brake,35,,,12,2
140,Muffler,36,,,12,3
141,Tire,12,,,12,3
142,Transmision,73,,,12,2
143,Air Condition,90,,,12,2
144,Detailing,65,,,12,3
145,Oil,27,,,13,1
146,Filter,29,,,13,1
147,spark_plug,60,,,13,2
148,TuneUp,64,,,13,2
149,Battries,70,,,13,1
150,Steering,95,,,13,2
151,Brake,38,,,13,2
152,Muffler,39,,,13,3
153,Tire,13,,,13,3
154,Transmision,78,,,13,2
155,Air Condition,95,,,13,2
156,Detailing,70,,,13,3
157,Oil,29,,,14,1
158,Filter,31,,,14,1
159,spark_plug,65,,,14,2
160,TuneUp,69,,,14,2
161,Battries,75,,,14,1
162,Steering,100,,,14,2
163,Brake,41,,,14,2
164,Muffler,42,,,14,3
165,Tire,14,,,14,3
166,Transmision,83,,,14,2
167,Air Condition,100,,,14,2
168,Detailing,75,,,14,3
169,Oil,31,,,15,1
170,Filter,33,,,15,1
171,spark_plug,70,,,15,2
172,TuneUp,74,,,15,2
173,Battries,80,,,15,1
174,Steering,105,,,15,2
175,Brake,44,,,15,2
176,Muffler,45,,,15,3
177,Tire,15,,,15,3
178,Transmision,88,,,15,2
179,Air Condition,105,,,15,2
180,Detailing,80,,,15,3
181,Oil,33,,,16,1
182,Filter,35,,,16,1
183,spark_plug,75,,,16,2
184,TuneUp,79,,,16,2
185,Battries,85,,,16,1
186,Steering,110,,,16,2
187,Brake,47,,,16,2
188,Muffler,48,,,16,3
189,Tire,16,,,16,3
190,Transmision,93,,,16,2
191,Air Condition,110,,,16,2
192,Detailing,85,,,16,3
193,Oil,35,,,17,1
194,Filter,37,,,17,1
195,spark_plug,80,,,17,2
196,TuneUp,84,,,17,2
197,Battries,90,,,17,1
198,Steering,115,,,17,2
199,Brake,50,,,17,2
200,Muffler,51,,,17,3
201,Tire,17,,,17,3
202,Transmision,98,,,17,2
203,Air Condition,115,,,17,2
204,Detailing,90,,,17,3
205,Oil,37,,,18,1
206,Filter,39,,,18,1
207,spark_plug,85,,,18,2
208,TuneUp,89,,,18,2
209,Battries,95,,,18,1
210,Steering,120,,,18,2
211,Brake,53,,,18,2
212,Muffler,54,,,18,3
213,Tire,18,,,18,3
214,Transmision,103,,,18,2
215,Air Condition,120,,,18,2
216,Detailing,95,,,18,3
217,Oil,2,,,19,1
218,Filter,4,,,19,1
219,spark_plug,90,,,19,2
220,TuneUp,94,,,19,2
221,Battries,100,,,19,1
222,Steering,125,,,19,2
223,Brake,3,,,19,2
224,Muffler,4,,,19,3
225,Tire,4,,,19,3
226,Transmision,5,,,19,2
227,Air Condition,125,,,19,2
228,Detailing,100,,,19,3
229,Oil,4,,,20,1
230,Filter,6,,,20,1
231,spark_plug,95,,,20,2
232,TuneUp,99,,,20,2
233,Battries,105,,,20,1
234,Steering,130,,,20,2
235,Brake,6,,,20,2
236,Muffler,7,,,20,3
237,Tire,5,,,20,3
238,Transmision,10,,,20,2
239,Air Condition,130,,,20,2
240,Detailing,105,,,20,3
241,Oil,6,,,21,1
242,Filter,8,,,21,1
243,spark_plug,100,,,21,2
244,TuneUp,104,,,21,2
245,Battries,110,,,21,1
246,Steering,135,,,21,2
247,Brake,9,,,21,2
248,Muffler,10,,,21,3
249,Tire,6,,,21,3
250,Transmision,15,,,21,2
251,Air Condition,135,,,21,2
252,Detailing,110,,,21,3
253,Oil,8,,,22,1
254,Filter,10,,,22,1
255,spark_plug,105,,,22,2
256,TuneUp,109,,,22,2
257,Battries,115,,,22,1
258,Steering,140,,,22,2
259,Brake,12,,,22,2
260,Muffler,13,,,22,3
261,Tire,7,,,22,3
262,Transmision,20,,,22,2
263,Air Condition,140,,,22,2
264,Detailing,115,,,22,3
265,Oil,10,,,23,1
266,Filter,12,,,23,1
267,spark_plug,102,,,23,2
268,TuneUp,106,,,23,2
269,Battries,112,,,23,1
270,Steering,137,,,23,2
271,Brake,15,,,23,2
272,Muffler,16,,,23,3
273,Tire,8,,,23,3
274,Transmision,25,,,23,2
275,Air Condition,137,,,23,2
276,Detailing,112,,,23,3
277,Oil,12,,,24,1
278,Filter,14,,,24,1
279,spark_plug,99,,,24,2
280,TuneUp,103,,,24,2
281,Battries,109,,,24,1
282,Steering,134,,,24,2
283,Brake,18,,,24,2
284,Muffler,19,,,24,3
285,Tire,9,,,24,3
286,Transmision,30,,,24,2
287,Air Condition,134,,,24,2
288,Detailing,109,,,24,3
289,Oil,14,,,25,1
290,Filter,16,,,25,1
291,spark_plug,96,,,25,2
292,TuneUp,100,,,25,2
293,Battries,106,,,25,1
294,Steering,131,,,25,2
295,Brake,21,,,25,2
296,Muffler,22,,,25,3
297,Tire,10,,,25,3
298,Transmision,35,,,25,2
299,Air Condition,131,,,25,2
300,Detailing,106,,,25,3
301,Oil,16,,,26,1
302,Filter,18,,,26,1
303,spark_plug,93,,,26,2
304,TuneUp,97,,,26,2
305,Battries,103,,,26,1
306,Steering,128,,,26,2
307,Brake,24,,,26,2
308,Muffler,25,,,26,3
309,Tire,11,,,26,3
310,Transmision,40,,,26,2
311,Air Condition,128,,,26,2
312,Detailing,103,,,26,3
313,Oil,18,,,27,1
314,Filter,20,,,27,1
315,spark_plug,90,,,27,2
316,TuneUp,94,,,27,2
317,Battries,100,,,27,1
318,Steering,125,,,27,2
319,Brake,27,,,27,2
320,Muffler,28,,,27,3
321,Tire,12,,,27,3
322,Transmision,45,,,27,2
323,Air Condition,125,,,27,2
324,Detailing,100,,,27,3
325,Oil,20,,,28,1
326,Filter,22,,,28,1
327,spark_plug,87,,,28,2
328,TuneUp,91,,,28,2
329,Battries,97,,,28,1
330,Steering,122,,,28,2
331,Brake,30,,,28,2
332,Muffler,31,,,28,3
333,Tire,13,,,28,3
334,Transmision,50,,,28,2
335,Air Condition,122,,,28,2
336,Detailing,97,,,28,3
337,Oil,22,,,29,1
338,Filter,24,,,29,1
339,spark_plug,84,,,29,2
340,TuneUp,88,,,29,2
341,Battries,94,,,29,1
342,Steering,119,,,29,2
343,Brake,33,,,29,2
344,Muffler,34,,,29,3
345,Tire,14,,,29,3
346,Transmision,55,,,29,2
347,Air Condition,119,,,29,2
348,Detailing,94,,,29,3
349,Oil,24,,,30,1
350,Filter,26,,,30,1
351,spark_plug,81,,,30,2
352,TuneUp,85,,,30,2
353,Battries,91,,,30,1
354,Steering,116,,,30,2
355,Brake,36,,,30,2
356,Muffler,37,,,30,3
357,Tire,15,,,30,3
358,Transmision,60,,,30,2
359,Air Condition,116,,,30,2
360,Detailing,91,,,30,3
361,Oil,26,,,31,1
362,Filter,28,,,31,1
363,spark_plug,78,,,31,2
364,TuneUp,82,,,31,2
365,Battries,88,,,31,1
366,Steering,113,,,31,2
367,Brake,39,,,31,2
368,Muffler,40,,,31,3
369,Tire,16,,,31,3
370,Transmision,65,,,31,2
371,Air Condition,113,,,31,2
372,Detailing,88,,,31,3
373,Oil,28,,,32,1
374,Filter,30,,,32,1
375,spark_plug,75,,,32,2
376,TuneUp,79,,,32,2
377,Battries,85,,,32,1
378,Steering,110,,,32,2
379,Brake,42,,,32,2
380,Muffler,43,,,32,3
381,Tire,17,,,32,3
382,Transmision,70,,,32,2
383,Air Condition,110,,,32,2
384,Detailing,85,,,32,3
385,Oil,30,,,33,1
386,Filter,32,,,33,1
387,spark_plug,72,,,33,2
388,TuneUp,76,,,33,2
389,Battries,82,,,33,1
390,Steering,107,,,33,2
391,Brake,45,,,33,2
392,Muffler,46,,,33,3
393,Tire,18,,,33,3
394,Transmision,75,,,33,2
395,Air Condition,107,,,33,2
396,Detailing,82,,,33,3
397,Oil,32,,,34,1
398,Filter,34,,,34,1
399,spark_plug,69,,,34,2
400,TuneUp,73,,,34,2
401,Battries,79,,,34,1
402,Steering,104,,,34,2
403,Brake,48,,,34,2
404,Muffler,49,,,34,3
405,Tire,19,,,34,3
406,Transmision,80,,,34,2
407,Air Condition,104,,,34,2
408,Detailing,79,,,34,3
409,Oil,34,,,35,1
410,Filter,36,,,35,1
411,spark_plug,66,,,35,2
412,TuneUp,70,,,35,2
413,Battries,76,,,35,1
414,Steering,101,,,35,2
415,Brake,51,,,35,2
416,Muffler,52,,,35,3
417,Tire,20,,,35,3
418,Transmision,85,,,35,2
419,Air Condition,101,,,35,2
420,Detailing,76,,,35,3
421,Oil,36,,,36,1
422,Filter,38,,,36,1
423,spark_plug,63,,,36,2
424,TuneUp,67,,,36,2
425,Battries,73,,,36,1
426,Steering,98,,,36,2
427,Brake,54,,,36,2
428,Muffler,55,,,36,3
429,Tire,21,,,36,3
430,Transmision,90,,,36,2
431,Air Condition,98,,,36,2
432,Detailing,73,,,36,3
